"","GeneName","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"30","pat23","leptidea_sinapisG00000002370",26.1098078413372,-1.25186163555908,0.321825502008827,-3.88987705369832,0.00010029502221578,0.0256496332427028
"31","puf68","leptidea_sinapisG00000010550",36.7305964935404,1.40485284500248,0.387700351414231,3.62355318966809,0.000290583412791852,0.0436927231544438
"32","rdh11_2","leptidea_sinapisG00000000729",402.372989894006,-3.24373926387026,0.681849104410889,-4.7572684966314,1.96230094016806e-06,0.00342264529984113
"33","rhbg-b","leptidea_sinapisG00000007536",72.1012416232313,-2.65622238241509,0.710249041869028,-3.73984648458689,0.000184132676086528,0.033454605586471
"34","rpl24_2","leptidea_sinapisG00000005671",21.9483317718369,5.50337385131184,1.29172152150007,4.26049559422126,2.0397410344823e-05,0.0116330979109927
"35","sdr-1","leptidea_sinapisG00000005125",12.4433303678543,3.38638310181308,0.73163555146746,4.62851086858878,3.6830453744975e-06,0.00401497983887409
"36","slc22a7","leptidea_sinapisG00000010346",13.1755243189726,-2.71319808927985,0.743596656006521,-3.648749718498,0.000263519675329461,0.0410384837240755
"37","slc26a11_4","leptidea_sinapisG00000002694",29.117175447805,-3.36224315770398,0.858004791955625,-3.91867643307739,8.90365438227277e-05,0.0242652405836878
"38","slc4a2slc4a1","leptidea_sinapisG00000012003",152.600096313313,-1.8999979763434,0.50490768594261,-3.76306011820023,0.000167846832090661,0.031182370553209
"39","trip11","leptidea_sinapisG00000012827",92.0355582269406,-1.54568995844735,0.342714589771416,-4.51013760306585,6.47855882526845e-06,0.00513631922865147
"40","ttpal_8","leptidea_sinapisG00000007918",85.6941164591761,-2.22489945009952,0.615904430914662,-3.61241020265983,0.000303364174235321,0.044093982725104
"41","y_3","leptidea_sinapisG00000003229",99.7191598547059,-2.10886287687551,0.526765462837984,-4.00341902734829,6.24335763636e-05,0.0201660451654428
"42","y_5","leptidea_sinapisG00000011014",541.512106652214,-3.05743688686739,0.677034091504884,-4.51592752156903,6.30402247702573e-06,0.00513631922865147
"43","znf98","leptidea_sinapisG00000004337",73.1137933859059,-1.56344492189575,0.413790419130994,-3.77834973844769,0.000157871063330568,0.0310856771521253
