Sample_ID Raw_reads  TrimGalore  Prinseq  CutAdapt  Condetri  SortMeRNA  Map_lept_rep  Mapped_lept one_hit mult_hits
P11917_147_S94_R2 12488004 11435276.0 10095161.0 9991410.0 9815380.0 7842875.0 0.41 96.04 61.77 28.47
P11917_148_S95_R1 13305222 12660802.0 11666888.0 11514484.0 11328870.0 9374162.0 0.6 95.71 62.88 26.77
P11917_148_S95_R2 13305222 12660802.0 11666888.0 11514484.0 11328870.0 9374162.0 0.57 95.3 62.28 26.51
P11917_149_S96_R1 13927572 13290354.0 12303565.0 12051419.0 11865854.0 11341005.0 0.64 97.91 63.28 28.92
P11917_149_S96_R2 13927572 13290354.0 12303565.0 12051419.0 11865854.0 11341005.0 0.62 97.41 62.66 28.35
P11917_150_S97_R1 12606843 11406386.0 9876650.0 9723876.0 9541034.0 9166560.0 0.5 94.02 57.34 31.63
P11917_150_S97_R2 12606843 11406386.0 9876650.0 9723876.0 9541034.0 9166560.0 0.49 93.84 56.03 32.34
P11917_151_S98_R1 14047262 12576098.0 10902569.0 10698659.0 10492650.0 9720782.0 0.48 94.87 58.59 28.95
P11917_151_S98_R2 14047262 12576098.0 10902569.0 10698659.0 10492650.0 9720782.0 0.46 94.32 57.72 29.03
P11917_152_S99_R1 14204574 12980671.0 11499827.0 11282721.0 11084281.0 10436597.0 0.68 94.22 58.59 29.54
P11917_152_S99_R2 14204574 12980671.0 11499827.0 11282721.0 11084281.0 10436597.0 0.65 93.68 58.23 29.21
P11917_153_S100_R1 9849335 8685097.0 7235629.0 7117395.0 6978216.0 6329822.0 0.75 96.12 61.50 28.87
P11917_153_S100_R2 9849335 8685097.0 7235629.0 7117395.0 6978216.0 6329822.0 0.71 95.51 61.20 28.38
P11917_154_S101_R1 11673581 11048587.0 10075653.0 9923995.0 9759096.0 8737740.0 0.52 91.56 53.67 32.65
P11917_154_S101_R2 11673581 11048587.0 10075653.0 9923995.0 9759096.0 8737740.0 0.5 91.39 52.08 33.95
P11917_155_S102_R1 14273334 13710557.0 12695658.0 12023981.0 11821264.0 11261952.0 1.08 96.26 60.61 30.74
P11917_155_S102_R2 14273334 13710557.0 12695658.0 12023981.0 11821264.0 11261952.0 1.04 95.36 60.65 29.58
P11917_156_S103_R1 12420765 11937382.0 11068474.0 10800670.0 10631402.0 10350433.0 0.8 96.46 62.04 30.09
P11917_156_S103_R2 12420765 11937382.0 11068474.0 10800670.0 10631402.0 10350433.0 0.77 95.67 61.99 29.22
P11917_157_S104_R1 11901881 10572851.0 9022760.0 8883443.0 8702341.0 8186364.0 0.48 89.78 55.67 28.67
P11917_157_S104_R2 11901881 10572851.0 9022760.0 8883443.0 8702341.0 8186364.0 0.47 89.01 54.68 28.60
P11917_158_S105_R1 14105489 12768079.0 11259499.0 11015503.0 10812062.0 10116362.0 0.65 96.21 62.22 27.29
P11917_158_S105_R2 14105489 12768079.0 11259499.0 11015503.0 10812062.0 10116362.0 0.64 95.53 61.91 26.69
P11917_159_S106_R1 18204250 16332924.0 14228071.0 14070471.0 13803560.0 11749229.0 0.5 94.46 61.43 27.09
P11917_159_S106_R2 18204250 16332924.0 14228071.0 14070471.0 13803560.0 11749229.0 0.48 93.74 61.01 26.54
P11917_160_S107_R1 11583001 10500649.0 9251096.0 9028564.0 8867840.0 7358342.0 1.41 95.05 63.68 27.76
P11917_160_S107_R2 11583001 10500649.0 9251096.0 9028564.0 8867840.0 7358342.0 1.35 94.24 64.21 26.44
P11917_161_S108_R1 15389161 14406004.0 13009114.0 12480752.0 12263258.0 11794605.0 0.81 95.18 58.61 31.60
P11917_161_S108_R2 15389161 14406004.0 13009114.0 12480752.0 12263258.0 11794605.0 0.79 94.37 57.82 31.14
P11917_162_S109_R1 10203409 9666823.0 8923838.0 8796376.0 8663085.0 8197783.0 0.4 98.04 65.12 24.75
P11917_162_S109_R2 10203409 9666823.0 8923838.0 8796376.0 8663085.0 8197783.0 0.39 97.49 64.87 24.08
P11917_163_S110_R1 13784577 12727771.0 11412662.0 11197043.0 11003348.0 10513567.0 0.49 97.89 64.91 26.52
P11917_163_S110_R2 13784577 12727771.0 11412662.0 11197043.0 11003348.0 10513567.0 0.47 97.28 64.69 25.81
P11917_164_S111_R1 18440161 17621986.0 16433969.0 16142258.0 15894538.0 15433681.0 0.85 97.91 64.81 28.96
P11917_164_S111_R2 18440161 17621986.0 16433969.0 16142258.0 15894538.0 15433681.0 0.8 97.36 65.22 27.96
P11917_165_S112_R1 14540502 13781339.0 12637416.0 12483082.0 12268602.0 10151522.0 0.55 90.84 58.77 25.43
P11917_165_S112_R2 14540502 13781339.0 12637416.0 12483082.0 12268602.0 10151522.0 0.52 90.01 58.54 24.48
