gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000001529,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
leptidea_sinapisG00000001528,19,18,19,18,4,15,0,3,5,8,35,61,30,113,21,26,27,9
leptidea_sinapisG00000006728,13,11,13,0,11,0,0,5,3,2,8,7,0,0,2,8,0,3
leptidea_sinapisG00000001521,0,0,0,0,0,0,0,3,0,0,0,19,27,223,0,0,0,66
leptidea_sinapisG00000001520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001525,14,31,8,0,29,30,0,8,11,25,41,58,26,88,23,19,25,16
leptidea_sinapisG00000001524,3,4,0,0,19,11,3,27,11,7,26,10,20,31,33,12,17,0
leptidea_sinapisG00000001527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000001526,303,206,69,7,177,141,0,56,76,103,189,372,192,473,211,177,359,172
leptidea_sinapisG00000002124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000002125,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,33,231,0
leptidea_sinapisG00000002126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6715,6594,16531,0
leptidea_sinapisG00000014462,139,83,57,46,153,50,0,55,29,23,179,551,272,566,322,246,189,325
leptidea_sinapisG00000014463,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
leptidea_sinapisG00000014460,5,2,5,0,3,0,0,10,0,3,12,24,33,21,29,47,157,21
leptidea_sinapisG00000009386,3,0,31,0,3,1,0,0,0,0,0,0,255,485,916,1034,309,433
leptidea_sinapisG00000014466,566403,841735,229,315,550,417726,108,7290,21234,487852,19224,2359,21,237,7,18,0,28
leptidea_sinapisG00000014467,227,270,480,56,623,429,63,251,383,247,797,817,5154,20081,6660,6219,5452,5897
leptidea_sinapisG00000014464,91,78,18,3,83,79,0,14,56,37,102,235,58,136,38,42,63,45
leptidea_sinapisG00000014465,17,21,0,0,101,17,18,4,30,18,10,22,19,78,57,35,2,39
leptidea_sinapisG00000002652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014468,180,109,132,64,120,55,5,61,36,37,120,182,224,732,73,56,86,209
leptidea_sinapisG00000014469,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,6,0
leptidea_sinapisG00000009380,13,25,14,0,10,14,0,2,0,17,4,21,17,0,13,37,101,15
leptidea_sinapisG00000008368,20,13,19,0,8,8,3,4,0,4,4,14,5,0,6,3,2,0
leptidea_sinapisG00000008369,16,10,0,0,6,7,0,3,5,0,6,22,19,94,1,0,0,13
leptidea_sinapisG00000009383,232,191,199,42,248,126,20,114,111,74,227,856,427,1283,352,360,278,405
leptidea_sinapisG00000008360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
leptidea_sinapisG00000008361,0,0,0,0,0,0,0,0,0,0,0,5,6,6,7,6,1,1
leptidea_sinapisG00000008362,84,94,25,3,23,36,0,15,17,10,31,455,44,183,67,74,89,35
leptidea_sinapisG00000008363,96,76,166,43,76,39,0,37,38,22,51,245,168,821,38,51,17,141
leptidea_sinapisG00000008364,4,1,12,0,0,0,0,0,3,1,9,0,0,0,8,7,12,0
leptidea_sinapisG00000008365,219,200,110,36,100,68,7,125,35,51,262,521,162,615,89,71,57,143
leptidea_sinapisG00000008366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010010,13,10,0,0,19,4,0,6,0,0,22,13,22,29,5,12,10,7
leptidea_sinapisG00000010778,363,261,417,27,453,176,39,152,163,124,515,1468,795,2064,253,362,291,807
leptidea_sinapisG00000010779,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
leptidea_sinapisG00000001488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010774,17,16,47,0,24,7,0,54,17,13,258,164,25,131,62,50,44,21
leptidea_sinapisG00000010775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010772,0,0,101,6,0,4,4,0,0,0,16,1625,21,63,35,34,84,37
leptidea_sinapisG00000010773,1,0,0,0,2,2,0,0,0,0,0,5,0,0,0,2,1,6
leptidea_sinapisG00000010770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000010771,40268,32651,61005,12084,32629,35546,25069,39631,35611,23478,74708,70193,72573,200120,23640,20508,22989,120421
leptidea_sinapisG00000010015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000014921,17,10,0,0,19,19,0,3,0,8,25,29,14,0,7,12,11,0
